ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
ACHR,under_touch,2023-02-21,2.67,2.73,-2.19,3394.2,4,0.84,6.82,-0.37,-85.65,4.56,,10.49,11.99,-3.0,-27.34,160.86,21.35,-9.36,3.0,1.87,1.0,2.19,False
ACHR,under_touch,2023-02-27,2.81,2.89,-2.7,3394.2,8,0.58,5.54,0.72,-84.89,4.62,,7.47,-1.42,-9.96,-34.88,147.86,15.3,-14.95,2.0,3.2,2.0,4.44,False
ACHR,under_touch,2023-03-02,2.9,2.82,2.9,2284.0,4,1.03,5.25,-2.03,-84.41,4.93,,-2.41,-7.93,-5.17,-31.72,140.17,11.72,-17.59,4.0,-2.07,1.0,1.01,True
ACHR,under_touch,2023-03-08,2.84,2.96,-4.18,2284.0,8,1.21,6.21,1.43,-84.73,4.59,,-3.87,-11.62,-7.39,-28.52,145.25,14.08,-15.85,1.0,-0.35,2.0,6.2,False
ACHR,under_touch,2023-03-10,3.07,2.84,7.97,1603.3,2,1.64,6.42,15.85,-83.49,5.19,,-17.26,-17.92,-14.98,-30.29,126.87,-2.28,-22.15,1.0,-9.77,1.0,0.11,True
ACHR,under_touch,2023-03-16,2.67,2.97,-10.23,1603.3,6,0.62,8.35,-7.93,-85.65,4.06,,-5.24,3.0,-19.85,-25.09,160.86,8.61,-19.85,1.0,-4.87,2.0,11.23,False
ACHR,under_touch,2023-03-17,2.54,2.65,-4.04,848.2,2,1.96,8.83,-7.97,-86.34,4.15,,-0.79,12.6,-20.08,-6.69,174.21,14.17,-27.17,1.0,-3.94,1.0,4.79,False
ACHR,under_touch,2023-03-24,2.52,2.49,1.19,508.6,4,0.99,8.73,-7.35,-86.45,4.3,,13.49,3.57,-25.4,28.57,176.39,15.08,-27.78,2.0,-0.4,1.0,4.03,True
ACHR,under_touch,2023-04-05,2.63,2.64,-0.28,508.6,12,0.62,6.84,-7.39,-85.86,4.68,,-12.93,-27.0,-22.81,12.55,164.83,2.66,-32.7,1.0,-2.28,2.0,3.31,False
ACHR,under_touch,2023-04-10,2.61,2.54,2.62,407.2,9,0.46,6.46,-14.98,-85.97,4.31,,-22.22,-27.97,-18.01,19.54,166.86,3.45,-32.18,2.0,-6.9,1.0,0.92,True
