ticker,side,event_date,entry,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dist_hi_52w_pct,dist_lo_52w_pct,rsi14,dollar_vol_m,attempt_no,touch_no,ret_s10_none,days_s10_none,ret_s10_tp20,days_s10_tp20,ret_s10_tp40,days_s10_tp40,ret_s10_atr3x,days_s10_atr3x,ret_s10_atr4x,days_s10_atr4x,ret_s15_none,days_s15_none,ret_s15_tp20,days_s15_tp20,ret_s15_tp40,days_s15_tp40,ret_s15_atr3x,days_s15_atr3x,ret_s15_atr4x,days_s15_atr4x,ret_s20_none,days_s20_none,ret_s20_tp20,days_s20_tp20,ret_s20_tp40,days_s20_tp40,ret_s20_atr3x,days_s20_atr3x,ret_s20_atr4x,days_s20_atr4x
FIGS,under,2023-05-02,6.8,3.02,45.7,110,1.26,5.2,4.62,-86.51,-58.91,22.52,52.7,15.91,,10.0,5.59,60,20.0,3,5.59,60,15.6,3,20.8,6,5.59,60,20.0,3,5.59,60,15.6,3,20.8,6,5.59,60,20.0,3,5.59,60,15.6,3,20.8,6
FIGS,under,2023-07-31,7.36,1.78,45.7,171,1.23,4.71,-11.0,-85.4,-46.47,32.61,44.7,17.73,,12.0,-6.17,2,-6.17,2,-6.17,2,-6.17,2,-6.17,2,-7.93,6,-7.93,6,-7.93,6,-7.93,6,-7.93,6,-9.84,9,-9.84,9,-9.84,9,-9.84,9,-9.84,9
FIHL,upper,2025-05-02,16.65,1.61,-43.8,104,0.67,2.65,1.46,-21.9,-21.9,17.5,57.9,9.47,2.0,,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60,-9.73,60
FIHL,upper,2026-05-14,23.46,15.25,-3.1,57,2.55,2.99,16.14,-0.61,-0.61,58.51,74.9,9.63,2.0,,4.39,60,4.39,60,4.39,60,8.97,33,11.96,50,4.39,60,4.39,60,4.39,60,8.97,33,11.96,50,4.39,60,4.39,60,4.39,60,8.97,33,11.96,50
FIHL,under,2023-11-13,13.85,0.46,27.0,62,1.24,2.26,-2.53,-9.48,-9.48,9.92,42.1,2.51,,1.0,-2.34,4,-2.34,4,-2.34,4,-2.34,4,-2.34,4,-3.28,6,-3.28,6,-3.28,6,-3.28,6,-3.28,6,-4.41,6,-4.41,6,-4.41,6,-4.41,6,-4.41,6
FIHL,under,2023-11-17,13.94,0.73,27.0,66,1.09,2.09,-0.07,-8.89,-8.89,10.63,46.6,2.48,,2.0,-2.63,2,-2.63,2,-2.63,2,-2.63,2,-2.63,2,-3.68,2,-3.68,2,-3.68,2,-3.68,2,-3.68,2,-4.72,2,-4.72,2,-4.72,2,-4.72,2,-4.72,2
FIHL,under,2024-05-29,15.78,0.73,27.0,197,1.03,4.63,-15.07,-23.14,-23.14,36.62,26.0,11.81,,20.0,18.76,60,20.0,55,18.76,60,13.89,34,18.52,55,18.76,60,20.0,55,18.76,60,13.89,34,18.52,55,18.76,60,20.0,55,18.76,60,13.89,34,18.52,55
FIHL,under,2024-06-10,15.99,1.3,27.0,205,2.09,3.55,-13.47,-22.11,-22.11,38.44,37.1,13.11,,22.0,13.13,60,13.13,60,13.13,60,10.65,23,14.21,47,13.13,60,13.13,60,13.13,60,10.65,23,14.21,47,13.13,60,13.13,60,13.13,60,10.65,23,14.21,47
FIHL,under,2024-06-27,16.04,0.46,27.0,217,0.66,2.62,1.65,-21.87,-21.87,38.87,43.8,8.93,,24.0,-0.51,27,-0.51,27,-0.51,27,7.87,10,10.49,11,11.6,60,11.6,60,11.6,60,7.87,10,10.49,11,11.6,60,11.6,60,11.6,60,7.87,10,10.49,11
FIHL,under,2024-08-05,16.46,0.59,27.0,243,1.29,3.21,0.43,-19.82,-19.82,42.51,41.5,7.57,,26.0,5.59,60,5.59,60,5.59,60,9.62,7,12.83,9,5.59,60,5.59,60,5.59,60,9.62,7,12.83,9,5.59,60,5.59,60,5.59,60,9.62,7,12.83,9
