ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
ALX,תמיכה,2022-09-22,219.62,197.66,263.54,100.0,2022-11-17,245.0,TIME,577.82,11.56,40
DCGO,פריצה,2022-11-10,7.78,7.0,9.34,100.0,2022-11-18,7.0,SL,-501.29,-10.03,6
FIBK,פריצה,2022-09-26,41.7,37.53,50.04,100.0,2022-11-21,44.05,TIME,281.77,5.64,40
ALEC,תמיכה,2022-11-10,8.23,7.41,9.88,100.0,2022-11-21,7.41,SL,-498.18,-9.96,7
AFCG,פריצה,2022-10-03,10.94,9.85,13.13,100.0,2022-11-29,11.63,TIME,315.36,6.31,40
FWRG,תמיכה,2022-11-16,15.3,13.77,18.36,100.0,2022-12-06,13.77,SL,-500.0,-10.0,13
IPSC,פריצה,2022-11-01,10.72,9.65,12.86,100.0,2022-12-07,9.65,SL,-499.07,-9.98,25
CORT,פריצה,2022-12-07,23.52,21.17,28.22,100.0,2022-12-12,21.17,SL,-499.57,-9.99,3
BANF,פריצה,2022-11-14,99.27,89.34,119.12,100.0,2022-12-14,89.34,SL,-500.15,-10.0,21
ABCB,פריצה,2022-11-04,51.75,46.58,62.1,100.0,2022-12-15,46.58,SL,-499.52,-9.99,28
BARK,תמיכה,2022-11-09,32.8,29.52,39.36,100.0,2022-12-15,29.52,SL,-500.0,-10.0,25
CNXN,פריצה,2022-11-29,54.54,49.09,65.45,100.0,2022-12-15,49.09,SL,-499.63,-9.99,12
ARCB,פריצה,2022-11-18,82.2,73.98,98.64,100.0,2022-12-19,73.98,SL,-500.0,-10.0,20
SWX,פריצה,2022-11-11,66.45,59.81,79.74,100.0,2022-12-22,59.81,SL,-499.62,-9.99,28
FFBC,פריצה,2022-11-21,25.61,23.05,30.73,100.0,2022-12-22,23.05,SL,-499.8,-10.0,22
CDRE,תמיכה,2022-12-14,21.9,19.71,26.28,100.0,2022-12-27,19.71,SL,-500.0,-10.0,8
EBF,פריצה,2022-11-01,22.7,20.43,27.24,100.0,2022-12-29,22.17,TIME,-116.74,-2.33,40
BRSP,תמיכה,2022-12-15,6.84,6.16,8.21,100.0,2022-12-29,6.16,SL,-497.08,-9.94,9
HURN,פריצה,2022-11-02,75.82,68.24,90.98,100.0,2022-12-30,72.6,TIME,-212.35,-4.25,40
APG,פריצה,2022-11-03,11.34,10.21,13.61,100.0,2023-01-03,12.45,TIME,489.42,9.79,40
AIR,פריצה,2022-11-04,43.07,38.76,51.68,100.0,2023-01-04,45.24,TIME,251.92,5.04,40
FWRD,פריצה,2022-11-07,107.95,97.16,129.54,100.0,2023-01-05,102.35,TIME,-259.38,-5.19,40
ALEC,פריצה,2022-12-29,9.48,8.53,11.38,100.0,2023-01-06,8.53,SL,-501.05,-10.02,5
ALGT,תמיכה,2022-12-27,65.16,58.64,78.19,100.0,2023-01-09,78.19,TP,999.85,20.0,8
AFRI,פריצה,2022-11-15,11.3,10.17,13.56,100.0,2023-01-13,11.6,TIME,132.74,2.65,40
CRNX,תמיכה,2022-12-15,16.24,14.62,19.49,100.0,2023-01-17,19.49,TP,1000.62,20.01,20
BBSI,פריצה,2022-11-17,23.9,21.51,28.68,100.0,2023-01-18,23.92,TIME,4.18,0.08,40
FCFS,פריצה,2022-11-21,93.99,84.59,112.79,100.0,2023-01-20,89.06,TIME,-262.26,-5.25,40
EAT,פריצה,2022-12-06,32.94,29.65,39.53,100.0,2023-01-31,39.53,TP,1000.3,20.01,37
ARIS,פריצה,2023-01-17,15.7,14.13,18.84,100.0,2023-02-02,14.13,SL,-500.0,-10.0,12
GPI,פריצה,2023-01-18,192.8,173.52,231.36,100.0,2023-02-02,231.36,TP,1000.0,20.0,11
ACVA,פריצה,2023-01-20,8.98,8.08,10.78,100.0,2023-02-02,10.78,TP,1002.23,20.04,9
ACNB,פריצה,2022-12-12,37.7,33.93,45.24,100.0,2023-02-09,38.2,TIME,66.31,1.33,40
AGM,פריצה,2023-01-04,115.63,104.07,138.76,100.0,2023-02-10,138.76,TP,1000.17,20.0,26
CRGY,תמיכה,2022-12-15,12.01,10.81,14.41,100.0,2023-02-14,11.9,TIME,-45.8,-0.92,40
ACA,פריצה,2022-12-19,55.59,50.03,66.71,100.0,2023-02-16,59.27,TIME,330.99,6.62,40
APLE,תמיכה,2022-12-22,15.56,14.0,18.67,100.0,2023-02-22,16.61,TIME,337.4,6.75,40
AFCG,תמיכה,2022-12-29,10.78,9.7,12.94,100.0,2023-02-28,10.6,TIME,-83.49,-1.67,40
SPFI,פריצה,2023-01-13,28.83,25.95,34.6,100.0,2023-02-28,25.95,SL,-499.48,-9.99,30
ARKO,פריצה,2022-12-30,8.66,7.79,10.39,100.0,2023-03-01,8.27,TIME,-225.17,-4.5,40
CHCT,פריצה,2023-02-10,42.3,38.07,50.76,100.0,2023-03-01,38.07,SL,-500.0,-10.0,12
EBF,פריצה,2023-01-03,22.76,20.48,27.31,100.0,2023-03-02,21.99,TIME,-169.16,-3.38,40
NMRK,תמיכה,2023-02-16,8.51,7.66,10.21,100.0,2023-03-02,7.66,SL,-499.41,-9.99,9
MEG,תמיכה,2023-03-01,43.45,39.11,52.14,100.0,2023-03-02,39.11,SL,-499.42,-9.99,1
ALEC,פריצה,2023-01-31,8.82,7.94,10.58,100.0,2023-03-03,7.94,SL,-498.87,-9.98,22
CCB,תמיכה,2023-01-05,44.61,40.15,53.53,100.0,2023-03-06,45.76,TIME,128.89,2.58,40
ANAB,תמיכה,2023-01-06,15.49,13.94,18.59,100.0,2023-03-07,15.77,TIME,89.32,1.79,40
ARIS,תמיכה,2023-02-02,13.69,12.32,16.43,100.0,2023-03-07,12.32,SL,-500.37,-10.01,22
ANGO,תמיכה,2023-03-02,12.65,11.38,15.18,100.0,2023-03-07,11.38,SL,-501.98,-10.04,3
UTMD,תמיכה,2023-01-09,88.16,79.34,105.79,100.0,2023-03-08,88.6,TIME,24.95,0.5,40
CVBF,פריצה,2023-02-02,25.34,22.81,30.41,100.0,2023-03-09,22.81,SL,-499.21,-9.98,24
ALXO,תמיכה,2023-03-02,6.47,5.82,7.76,100.0,2023-03-09,5.82,SL,-502.32,-10.05,5
ALRS,פריצה,2023-01-31,20.58,18.52,24.7,100.0,2023-03-10,18.52,SL,-500.49,-10.01,27
FSBC,תמיכה,2023-02-28,27.32,24.59,32.78,100.0,2023-03-10,24.59,SL,-499.63,-9.99,8
ACDC,פריצה,2023-03-02,20.26,18.23,24.31,100.0,2023-03-10,18.23,SL,-500.99,-10.02,6
