date,equity,open_positions,cash
2021-11-24,115291.52,20,14314.91
2021-11-26,111661.67,20,12814.71
2021-11-29,110561.87,20,12313.03
2021-11-30,109242.79,20,11279.03
2021-12-01,107918.93,20,10778.58
2021-12-02,110270.54,20,10778.58
2021-12-03,109233.2,20,10278.58
2021-12-06,109820.17,20,9778.02
2021-12-07,110291.21,20,9778.02
2021-12-08,111583.77,20,10015.5
2021-12-09,110066.08,20,11015.5
2021-12-10,109853.29,20,11015.5
2021-12-13,108850.67,20,10014.18
2021-12-14,107430.4,20,9514.5
2021-12-15,107925.46,20,8512.42
2021-12-16,107570.58,20,8512.42
2021-12-17,109113.09,20,7848.47
2021-12-20,107568.45,20,7348.77
2021-12-21,109667.04,20,8350.02
2021-12-22,110599.39,20,8350.02
2021-12-23,112273.45,20,8350.02
2021-12-27,112130.4,20,8418.14
2021-12-28,110899.32,20,7919.61
2021-12-29,111124.92,20,7919.61
2021-12-30,112004.19,20,7919.61
2021-12-31,111594.33,20,7799.51
2022-01-03,113284.49,20,7799.51
2022-01-04,112175.93,20,7799.51
2022-01-05,109079.21,20,6798.85
2022-01-06,108666.59,20,6297.92
2022-01-07,107601.9,20,5797.92
2022-01-10,107055.03,20,4297.76
2022-01-11,107276.02,20,4297.76
2022-01-12,106923.01,20,4297.76
2022-01-13,106486.14,20,3797.76
2022-01-14,106453.24,20,2879.85
2022-01-18,103993.82,20,2680.74
2022-01-19,103576.14,20,3680.74
2022-01-20,101883.81,20,3180.88
2022-01-21,100681.19,20,3694.72
2022-01-24,101891.79,20,2196.9
2022-01-25,100815.12,20,2294.7
2022-01-26,99190.08,20,2097.17
2022-01-27,98017.35,20,1077.25
2022-01-28,98769.53,20,577.94
2022-01-31,99901.54,20,577.94
2022-02-01,100461.45,20,577.94
2022-02-02,99799.88,20,577.94
2022-02-03,98627.15,20,77.6
2022-02-04,98574.06,19,4577.6
2022-02-07,99767.33,19,4577.6
2022-02-08,100825.16,19,4577.6
2022-02-09,100599.7,19,4577.6
2022-02-10,99579.54,19,4577.6
2022-02-11,99191.67,19,4577.6
2022-02-14,99282.49,19,4577.6
2022-02-15,101416.86,20,604.52
2022-02-16,101482.99,20,604.52
2022-02-17,100527.97,20,604.52
2022-02-18,100268.11,20,604.52
2022-02-22,99365.53,20,604.52
2022-02-23,98231.99,20,454.05
2022-02-24,97962.17,19,3954.4
2022-02-25,100050.02,19,3954.4
2022-02-28,99675.2,19,3954.4
2022-03-01,97456.38,19,2955.2
2022-03-02,99518.25,19,2955.2
2022-03-03,98320.4,19,2454.74
