ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
RAMP,under_touch,2026-01-16,25.07,25.52,-1.77,17.3,2,0.72,3.28,-15.79,-71.31,13.17,,4.43,-2.23,-2.07,11.49,51.26,4.71,-13.4,1.0,-1.16,1.0,2.24,False
RAMP,under_touch,2026-01-29,24.19,24.69,-2.03,16.0,7,1.11,3.33,-18.83,-72.32,12.81,,-7.32,-4.01,12.32,6.32,56.76,13.15,-10.25,1.0,0.66,1.0,3.81,False
RAMP,under_touch,2026-02-03,22.47,23.79,-5.54,14.6,3,1.31,3.75,-20.54,-74.28,12.74,,7.25,11.75,27.55,18.07,68.76,29.6,-3.38,1.0,1.51,1.0,6.19,False
RAPT,under_touch,2025-07-01,7.33,7.36,-0.39,732.5,8,0.37,126.09,-2.27,-98.21,2.56,,15.14,43.52,54.43,58.94,691.54,92.22,-0.14,,,1.0,0.39,False
RAPT,under_touch,2025-08-12,10.9,9.39,16.06,732.5,37,6.73,9.86,2.73,-97.34,0.93,,-0.73,3.49,29.72,170.09,432.29,31.65,-7.71,,,2.0,6.83,True
RBB,upper_breakout,2026-06-09,24.5,24.4,0.39,-4.0,1096,1.96,2.27,4.12,-27.13,2.6,1.0,4.94,8.59,8.9,9.43,12.33,15.1,-1.51,,,,,
RBBN,under_touch,2025-10-23,3.45,3.54,-2.59,41.5,118,3.83,5.36,-9.69,-69.33,2.35,,-2.61,-8.41,-20.0,-16.23,-38.84,4.06,-21.16,1.0,2.61,1.0,10.22,False
RBBN,under_touch,2025-11-04,3.17,3.21,-1.24,34.0,8,0.8,5.52,-15.69,-71.82,2.61,,0.32,-11.99,-9.15,-8.52,-33.44,3.79,-14.35,2.0,-0.32,1.0,1.55,False
RBBN,under_touch,2025-11-13,3.04,3.09,-1.72,31.1,4,1.16,3.74,-20.21,-72.98,2.61,,-9.21,-5.92,-1.97,-4.93,-30.59,3.29,-10.69,1.0,1.32,1.0,2.37,False
RBBN,under_touch,2025-11-18,2.79,2.95,-5.29,27.8,2,0.93,4.76,-30.94,-75.2,2.47,,1.08,3.23,2.51,0.72,-24.37,9.32,-2.69,1.0,2.15,1.0,5.63,False
RBBN,under_touch,2025-11-20,2.76,2.78,-0.89,24.3,2,0.81,4.94,-20.0,-75.47,2.23,,3.62,4.71,4.71,-3.99,-23.55,10.51,-1.63,1.0,-0.36,1.0,2.33,False
RBBN,under_touch,2025-12-04,2.77,2.73,1.37,22.7,8,1.37,4.24,-13.98,-75.38,1.92,,9.75,5.05,3.61,-0.36,-23.83,10.11,-0.36,,,1.0,0.1,True
RBBN,under_touch,2026-01-08,2.79,2.78,0.21,22.7,31,0.96,2.62,-4.12,-75.2,1.71,,0.72,-3.23,-29.75,-21.51,-24.37,4.66,-35.48,1.0,-1.08,2.0,0.51,True
RBBN,under_touch,2026-01-14,2.81,2.79,0.6,22.7,35,1.13,2.76,-3.1,-75.02,1.64,,-3.91,-4.63,-30.6,-25.27,-24.91,3.91,-35.94,3.0,-6.41,3.0,0.12,True
RBBN,under_touch,2026-01-21,2.65,2.8,-5.44,22.7,39,0.64,3.42,-8.3,-76.44,1.45,,1.89,1.51,-23.4,-16.98,-20.38,8.68,-32.08,1.0,1.89,4.0,7.04,False
RBBN,under_touch,2026-01-30,2.62,2.62,0.1,18.7,7,0.91,3.94,-9.03,-76.71,1.37,,-25.19,-20.23,-7.25,-20.8,-19.47,9.92,-31.3,5.0,-25.19,1.0,0.67,True
