ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
GNL,פריצה,2025-10-30,7.65,6.89,9.18,63.3,2025-12-29,8.5,TIME,555.56,11.11,40
NREF,תמיכה,2025-10-30,13.43,12.09,16.12,61.5,2025-12-29,13.96,TIME,197.32,3.95,40
CPK,פריצה,2025-11-07,135.8,122.22,162.96,61.5,2026-01-05,122.22,SL,-500.0,-10.0,37
CMC,פריצה,2025-11-12,61.35,55.22,73.62,63.5,2026-01-05,73.62,TP,1000.0,20.0,34
KTOS,פריצה,2025-11-19,70.67,63.6,84.8,56.4,2026-01-05,84.8,TP,999.72,19.99,29
EQBK,פריצה,2025-11-07,41.23,37.11,49.48,56.0,2026-01-07,45.42,TIME,508.13,10.16,40
KOP,תמיכה,2025-11-07,26.7,24.03,32.04,56.3,2026-01-07,26.93,TIME,43.07,0.86,40
BLMN,תמיכה,2025-11-10,6.4,5.76,7.68,55.4,2026-01-08,6.89,TIME,382.81,7.66,40
BW,פריצה,2025-12-29,5.54,4.99,6.65,62.1,2026-01-08,6.65,TP,1001.81,20.04,6
ALG,פריצה,2025-11-12,167.35,150.62,200.82,56.1,2026-01-12,188.11,TIME,620.26,12.41,40
ARQT,פריצה,2025-11-21,29.49,26.54,35.39,56.8,2026-01-12,26.54,SL,-500.17,-10.0,32
BNL,פריצה,2025-11-14,18.33,16.5,22.0,65.3,2026-01-14,18.46,TIME,35.46,0.71,40
ADUS,פריצה,2025-11-21,112.7,101.43,135.24,65.3,2026-01-22,110.37,TIME,-103.37,-2.07,40
GRND,תמיכה,2026-01-12,13.12,11.81,15.74,55.5,2026-01-23,11.81,SL,-499.24,-9.98,7
EXLS,פריצה,2026-01-22,42.73,38.46,51.28,64.4,2026-01-29,38.46,SL,-499.65,-9.99,4
DAKT,פריצה,2025-12-16,19.2,17.28,23.04,60.5,2026-01-30,23.04,TP,1000.0,20.0,29
BLBD,תמיכה,2026-01-07,47.06,42.35,56.47,59.0,2026-02-05,56.47,TP,999.79,20.0,19
BCO,פריצה,2025-12-10,117.19,105.47,140.63,63.5,2026-02-09,130.37,TIME,562.33,11.25,40
SMTC,פריצה,2025-12-23,75.91,68.32,91.09,55.2,2026-02-09,91.09,TP,999.87,20.0,30
STNE,פריצה,2025-12-29,14.84,13.36,17.81,59.8,2026-02-09,17.81,TP,1000.67,20.01,27
CCS,פריצה,2026-01-08,61.59,55.43,73.91,65.3,2026-02-11,73.91,TP,1000.16,20.0,22
AZZ,פריצה,2026-01-08,117.04,105.34,140.45,55.6,2026-02-12,140.45,TP,1000.09,20.0,23
ARTNA,פריצה,2025-12-22,31.98,28.78,38.38,56.7,2026-02-20,33.34,TIME,212.63,4.25,40
CWST,פריצה,2026-02-11,107.34,96.61,128.81,58.1,2026-02-20,96.61,SL,-499.81,-10.0,5
ALRM,תמיכה,2026-01-29,48.87,43.98,58.64,65.0,2026-02-23,43.98,SL,-500.31,-10.01,15
BMRC,פריצה,2026-02-09,27.61,24.85,33.13,57.9,2026-02-24,24.85,SL,-499.82,-10.0,9
ABG,פריצה,2026-01-05,240.19,216.17,288.23,65.3,2026-02-25,216.17,SL,-500.02,-10.0,34
CHMG,פריצה,2025-12-29,55.8,50.22,66.96,56.3,2026-02-26,58.05,TIME,201.61,4.03,40
WLY,תמיכה,2025-12-29,31.02,27.92,37.22,55.9,2026-02-26,30.58,TIME,-70.92,-1.42,40
AMSF,תמיכה,2026-02-20,37.63,33.87,45.16,55.7,2026-02-26,33.87,SL,-499.6,-9.99,3
ABCB,פריצה,2026-01-05,75.76,68.18,90.91,65.3,2026-03-04,79.43,TIME,242.21,4.84,40
