Date,Portfolio Value
2025-02-05,10275.51
2025-02-06,10429.51
2025-02-07,10031.78
2025-02-10,10384.64
2025-02-11,10310.67
2025-02-12,10331.29
2025-02-13,10766.61
2025-02-14,10892.72
2025-02-18,10960.62
2025-02-19,10961.84
2025-02-20,10828.45
2025-02-21,10150.61
2025-02-24,9785.62
2025-02-25,9412.14
2025-02-26,9472.77
2025-02-27,8687.01
2025-02-28,9084.74
2025-03-03,8497.85
2025-03-04,8404.48
2025-03-05,8731.88
2025-03-06,8007.96
2025-03-07,8174.09
2025-03-10,7252.52
2025-03-11,7167.63
2025-03-12,7412.58
2025-03-13,7007.57
2025-03-14,7504.73
2025-03-17,7650.25
2025-03-18,7264.64
2025-03-19,7547.18
2025-03-20,7469.57
2025-03-21,7539.90
2025-03-24,8018.87
2025-03-25,8161.96
2025-03-26,7709.39
2025-03-27,7578.02
2025-03-28,6974.70
2025-03-31,6969.83
2025-04-01,7130.39
2025-04-02,7289.74
2025-04-03,6118.37
2025-04-04,4998.09
2025-04-07,5017.55
2025-04-08,4731.70
2025-04-09,6399.35
2025-04-10,5612.36
2025-04-11,5909.15
2025-04-14,6033.22
2025-04-15,6056.33
2025-04-16,5508.96
2025-04-17,5493.15
2025-04-21,5091.75
2025-04-22,5480.99
2025-04-23,5844.68
2025-04-24,6342.18
2025-04-25,6551.40
2025-04-28,6546.53
2025-04-29,6674.25
2025-04-30,6675.47
2025-05-01,6905.36
2025-05-02,7228.92
2025-05-05,7103.63
2025-05-06,6901.71
2025-05-07,6981.99
2025-05-08,7189.99
2025-05-09,7172.97
2025-05-12,8041.46
2025-05-13,8410.02
2025-05-14,8558.42
2025-05-15,8585.18
2025-05-16,8691.00
2025-05-19,8714.11
2025-05-20,8622.88
2025-05-21,8264.05
2025-05-22,8306.63
2025-05-23,8067.00
2025-05-27,8628.97
2025-05-28,8518.28
2025-05-29,8559.63
2025-05-30,8514.63
2025-06-02,8710.46
2025-06-03,8913.60
2025-06-04,8985.36
2025-06-05,8776.15
2025-06-06,9026.72
2025-06-09,9066.86
2025-06-10,9242.02
2025-06-11,9147.14
2025-06-12,9206.74
2025-06-13,8858.86
2025-06-16,9220.12
2025-06-17,8947.66
2025-06-18,8935.49
2025-06-20,8812.64
2025-06-23,9086.32
2025-06-24,9499.89
2025-06-25,9572.67
2025-06-26,9834.92
2025-06-27,9931.28
2025-06-30,10124.00
2025-07-01,9866.63
2025-07-02,10063.01
2025-07-03,10344.78
2025-07-07,10114.24
2025-07-08,10127.66
2025-07-09,10337.46
2025-07-10,10289.89
2025-07-11,10211.82
2025-07-14,10320.38
2025-07-15,10347.22
2025-07-16,10376.49
2025-07-17,10618.00
2025-07-18,10581.41
2025-07-21,10742.42
2025-07-22,10575.31
2025-07-23,10714.36
2025-07-24,10785.11
2025-07-25,10846.10
2025-07-28,10951.61
2025-07-29,10902.21
2025-07-30,10940.02
2025-07-31,10759.50
2025-08-01,10114.24
2025-08-04,10668.01
2025-08-05,10446.02
2025-08-06,10836.34
2025-08-07,10946.12
2025-08-08,11241.30
2025-08-11,11142.50
2025-08-12,11553.56
2025-08-13,11570.64
2025-08-14,11538.92
2025-08-15,11375.47
2025-08-18,11360.84
2025-08-19,10897.33
2025-08-20,10698.51
2025-08-21,10549.70
2025-08-22,11024.18
2025-08-25,10927.82
2025-08-26,11054.68
2025-08-27,11104.69
2025-08-28,11307.17
2025-08-29,10899.77
2025-09-02,10621.66
2025-09-03,10869.27
2025-09-04,11163.24
